n,T(n)
284,23.809655
285,155.942703
285,30.213819
285,118.457917
285,64.730353
285,341.564958
286,693.571607
286,235.819552
286,19.664737
286,263.030989
286,424.512012
287,5.672849
287,217.510389
287,125.718009
287,623.808462
287,102.67741
288,46.959654
288,107.590855
288,22.582532
288,190.327122
288,44.437116
289,8.017791
289,40.852966
289,13.674162
289,29.52195
289,8.443178
290,22.887267
290,1628.170003
290,117.106851
290,5724.804703
290,52.190375
291,6.700392
291,27709.215156
291,2012.987898
291,191.745111
291,2084.938946
292,908.900447
292,13.705768
292,20.310391
292,455.728374
292,107.930288
293,339.914884
293,119.176816
293,577.141883
293,50980.306217
293,2.232085
294,868.716439
294,33.500774
294,199.630906
294,493.216946
294,73.518265
295,31.529867
295,105.879921
295,66.343764
295,50.162935
295,493.240532
296,14.516843
296,177.563284
296,49.721266
296,28.376753
296,981.623617
297,279.80893
297,32.476288
297,61.734564
297,185.434046
297,58.896986
298,151.214049
298,12.894242
298,444.363981
298,3466.217754
298,179.126745
299,11.383082
299,65.27685
299,590.15453
299,648.697965
299,74.932273
300,88.349071
300,621.323702
300,429.396403
300,223.436068
300,699.546
